Transcript	Gene	log2fc	pvalue	FDR
XM_005321164.2	LOC101957692	NA	NA	NA
XM_005316581.4;XM_021726783.3	Leo1	NA	NA	NA
XM_078043490.1	Hps3	NA	NA	NA
XR_013434842.1;XM_078039243.1	Cfap251	NA	NA	NA
XR_013427318.1	LOC144367824	NA	NA	NA
XR_013431140.1	LOC144370993	NA	NA	NA
XM_078034106.1	H2ab1	NA	NA	NA
XM_005327618.5	Arhgap31	NA	NA	NA
XR_013429025.1;XR_013429027.1	LOC120884972	NA	NA	NA
XM_005333321.5	Tesmin	-2.4515704454708924	1.4005488525049138e-35	6.364157526751062e-35
XR_013424000.1	LOC144365498	NA	NA	NA
XM_078048614.1	LOC144377408	NA	NA	NA
XR_013435500.1	LOC144375500	NA	NA	NA
XM_005339367.5	Pex19	-3.2110035354839694	2.5826977634630274e-105	4.9905859194633643e-104
XM_021721962.3	Lhfpl5	NA	NA	NA
XR_013439688.1	LOC110598612	NA	NA	NA
XM_078032418.1	Setd6	NA	NA	NA
XR_013427127.1	LOC106144822	NA	NA	NA
XR_013426609.1	LOC144367288	NA	NA	NA
XM_005327861.5	Ssh2	-2.428270504561398	2.5473375959420315e-80	3.120942973050691e-79
XM_005326261.5	Hint2	-0.5716419345370105	5.8226109717095585e-05	9.437890933105487e-05
XM_078040314.1	Cuzd1	NA	NA	NA
XM_040287557.2	Tmod4	0.5602499118600329	0.28195641581159353	0.3268866751846766
XM_005325479.4	Fat2	NA	NA	NA
XM_005321754.5	Cisd3	-1.9334941075150358	8.836624367946098e-28	3.264905880059765e-27
XR_013440269.1	LOC144378522	NA	NA	NA
XM_005320243.4	Enkur	NA	NA	NA
XM_078024678.1	LOC101962293	NA	NA	NA
XM_078024402.1;XM_078024401.1;XM_078024400.1	Unkl	NA	NA	NA
XM_005339099.4	LOC101974615	NA	NA	NA
XM_021735148.3	Dennd2d	NA	NA	NA
XM_021730794.3;XM_078032035.1	Shc2	NA	NA	NA
XR_005737797.2	LOC120892951	NA	NA	NA
XM_005334608.4	Pax1	NA	NA	NA
