Transcript	Gene	log2fc	pvalue	FDR
XM_078020468.1;XM_040282182.2	Ripk1	-3.4186023965444474	4.294484358325827e-254	6.29456189057538e-252
XM_078020469.1	Ripk1	-3.414762139022947	1.9356498911026555e-253	2.802960968814797e-251
XM_005337438.5	Isca1	-2.980319374967439	4.999220570686699e-252	7.153051433224218e-250
XM_078047386.1;XM_040285594.2	Isca1	-2.969865455579021	1.0894548811451321e-249	1.5404892019392167e-247
XM_005336121.5	Fdx2	-6.871874758934873	1.144097163768349e-249	1.598942303643231e-247
XM_005332548.4	Jpt1	-3.0418728391562198	7.494089890063915e-248	1.0353042113641171e-245
XM_078044813.1	Ftcd	-3.1578400385427545	4.129312627535782e-247	5.639796417085519e-245
XM_005340179.5	Ftcd	-3.1542871951332065	3.961981704002635e-246	5.350455966337941e-244
XM_021734398.3	C8H6orf62	-3.711802022062578	1.563923129264884e-245	2.08853245451496e-243
XM_005337024.5	C8H6orf62	-3.711030334043855	3.871219217638956e-245	5.112987228220067e-243
XM_005322070.5	Slc1a4	-3.526959483606798	6.984163471947479e-245	9.124202257536603e-243
XM_005335675.5	LOC101971356	-1.8666610812424658	1.5820229137623397e-244	2.0445519785494152e-242
XM_078034951.1;XM_078034950.1;XM_078034949.1	Ddx3x	-2.3160508487034224	1.607774820428004e-244	2.055728251779168e-242
XR_013439415.1;XR_005729739.2	Gdpgp1	-5.131949453283994	2.02887369277883e-242	2.540107595157162e-240
XM_040275819.2	Gdpgp1	-5.131949453283994	2.02887369277883e-242	2.540107595157162e-240
XR_013426661.1	LOC110597677	-3.1763110470391025	3.4265059065359883e-242	4.2456880918202103e-240
XM_005321860.5	Klhl11	-3.551717318005945	5.3221239087876e-240	6.52720482242022e-238
XM_005322052.5	B3gnt2	-2.024831463426025	3.856001167007701e-239	4.681341214774299e-237
XR_013426658.1	LOC110597677	-3.1546185075258197	1.3023517959038969e-238	1.5652966234968938e-236
XM_005331899.5	Hebp1	-2.267647369012341	3.179608400204297e-238	3.7837339962431134e-236
XM_078016504.1	Scrib	-4.298695168600381	3.3886225264499987e-237	3.992926877000248e-235
XM_005320976.5	Zbtb43	-4.182901708857494	3.6319206553785075e-236	4.23806352980527e-234
XM_078031041.1	Casp3	-2.9787540392469696	4.321996440370091e-236	4.9948149246930886e-234
XM_005320975.4	Zbtb43	-4.177880703488688	2.427509720971213e-235	2.7786894606050483e-233
XM_078016505.1	Scrib	-4.306536704776145	3.547814376545673e-235	4.0227529237455133e-233
XR_013431261.1	LOC106145134	-3.0396972910193227	1.5210536102547475e-234	1.7085554524908236e-232
XM_078020475.1	LOC106145546	-3.2026416234690696	2.4733047447528755e-234	2.752467567331927e-232
XR_013438477.1	LOC144377477	0.6777080253950163	2.8425912696552386e-234	3.134413254127185e-232
XM_078020473.1	LOC106145546	-3.2014746542812538	5.729662248590456e-234	6.260437324164427e-232
XM_078015726.1;XM_078015725.1	Pspc1	-1.5112160386092923	5.963832656086507e-234	6.457595017432768e-232
XM_078016502.1;XM_078016503.1;XM_078016506.1	Scrib	-4.272927465249942	1.461115928312209e-233	1.567960030570039e-231
XM_078020477.1	LOC106145546	-3.1845053303684034	6.769344470979178e-233	7.200066477583959e-231
XR_013431263.1;XR_013431260.1;XR_013431265.1;XR_013431264.1	LOC106145134	-3.030030318094393	8.332416475884575e-233	8.784852072250588e-231
XR_013431266.1;XR_013431262.1	LOC106145134	-3.024877318476756	1.198464775291133e-232	1.2525520116716634e-230
XM_078032540.1;XM_078032546.1;XM_078032547.1	Midn	-4.53750695753869	5.691013253678879e-232	5.8965765772384875e-230
