Transcript	Gene	log2fc	pvalue	FDR
XR_013427635.1	LOC144367972	1.2319529512161436	1.2096801779849987e-133	2.811398960131051e-131
XM_005332807.4	Eif4a1	0.9721829397103509	4.4483560550709485e-133	1.0194767120100795e-130
XM_005333688.5	LOC101965270	3.6392539423948533	1.9251379868099118e-132	4.35160300278772e-130
XM_078021403.1	LOC101965856	0.3712424614287483	1.1485628597464181e-131	2.5611399660372498e-129
XM_005341328.5	Txnip	1.176588847116962	1.8479379261677e-131	4.065709829292429e-129
XM_005338100.5	LOC101960145	1.3099888650388993	4.9251647154994473e-129	1.0693439864533734e-126
XM_078032712.1	LOC106145435	1.4502078173006923	1.8881525359217856e-126	4.046286363018881e-124
XM_078032707.1;XM_078032708.1	LOC106145435	1.4527372081292982	2.3423557062523828e-122	4.9552835267782775e-120
XM_078032713.1	LOC106145435	1.457356523419036	7.871457219143291e-120	1.644138171811183e-117
XM_005331867.4	Cps1	1.2999926860813633	1.7529078438096671e-119	3.6155915413379146e-117
XM_005327802.5	Wsb1	1.2048287453561124	1.9563141433304165e-119	3.98532588630805e-117
XM_021721139.3	Apoa2	1.0891461001731317	3.3896901512410616e-119	6.821131364101068e-117
XM_078032711.1	LOC106145435	1.441815370022381	8.365918276962863e-119	1.6632050299778818e-116
XM_078018405.1	Agxt	1.513098331357415	1.7295911555756514e-115	3.3976171021611695e-113
XM_005330685.5	Rabggtb	1.4396730662273123	3.2480834548902643e-115	6.305485304605207e-113
XM_040288878.2	Rabggtb	1.4375705688813447	5.956566651737834e-115	1.142898910701465e-112
XM_078016722.1	Lratd2	1.3884750730494304	1.4528621672945029e-114	2.755595243968574e-112
XM_078033405.1	LOC144371161	1.9610565972216678	3.16798061105019e-114	5.940323643515816e-112
XM_005341129.5	Tcim	2.0150230231288386	2.564580069554695e-113	4.754846710980003e-111
XM_078038432.1	Tkt	1.6078588809191983	8.154077732638208e-113	1.4950048518473675e-110
XM_078038431.1	Tkt	1.6046816338935268	1.4148694083482816e-112	2.565578033753296e-110
XM_078019483.1	Slc16a10	1.1922407886915953	4.771540185131888e-112	8.558172238571879e-110
XM_005326327.5	LOC101974093	1.0362125075904727	2.0845562480895478e-111	3.6986303924436164e-109
XM_005336677.5	Rpl13a	1.1307248403468646	1.8919889012396984e-110	3.3212456233357726e-108
XM_005330169.5	Slc16a10	1.1832339414083535	1.9573590661174445e-110	3.3998296789477844e-108
XM_078018246.1	Ngef	1.4896744734609348	4.4285151699144835e-110	7.611971751954051e-108
XM_005339636.5	Agxt	1.2929394030973371	1.1762109526267286e-109	2.0008924669374898e-107
XM_078018406.1	Agxt	1.2913138655280005	1.5656014612154108e-109	2.636121399134234e-107
XM_013363343.4	Ldlr	1.239772522898047	3.246035354949413e-109	5.4103868072747744e-107
XM_005323073.5	Lipg	1.4749483746281995	1.0669990186440233e-108	1.7606550806645029e-106
XM_078031651.1	Rpl13a	1.1161140702285548	1.111445675909808e-107	1.8158381285334397e-105
XM_078018245.1	Ngef	1.472933434298422	2.38601614180592e-107	3.859965917248969e-105
XM_078018247.1	Ngef	1.4750962435977604	3.8058567414710753e-107	6.0971303000984675e-105
XM_005334464.5	LOC101963741	1.5482045511774465	1.1416218966144786e-102	1.8113368188495684e-100
XM_078017883.1	Rpl37	1.9170739461027488	1.7495235274455769e-102	2.749417878702806e-100
XM_040272551.2	Acsl5	1.258592680815544	2.0377172954083295e-101	3.1721106690125326e-99
XM_040272553.2	Acsl5	1.2615643686836204	2.3736066073892828e-101	3.660456320423416e-99
XM_013364784.4	Sqstm1	0.9148085567980362	3.337742897586577e-98	5.099638477136677e-96
XM_005324360.5	Nabp1	1.5528723700664477	4.99219281470846e-98	7.557447122523329e-96
XM_005334202.4	Zbtb16	2.1825736543643908	1.260349194123304e-97	1.8906383683844216e-95
XM_013362359.4	Zbtb16	2.1741996943380255	1.3090668835251103e-96	1.9460281662205268e-94
XM_078041362.1	Fasn	1.8691847904329213	3.3940419787062438e-96	5.000454168806405e-94
XM_005331474.5	Nxf1	1.3682947007785433	4.440338227164009e-96	6.484072662516222e-94
XM_005339341.5	Sqstm1	0.8834175239847827	2.7276248363791226e-95	3.948117317990518e-93
XM_005331808.4	Pon2	1.824677666819985	3.239234045360236e-95	4.647878346303414e-93
XM_078048588.1	Rpl7a	1.4597775502427806	6.66166426549431e-95	9.476217417665656e-93
XM_013357033.4	Acly	1.5665358764555866	1.0674679031229568e-94	1.505494689695035e-92
XM_040285243.2	Zbtb16	2.1429359945252475	1.4053524306574284e-94	1.9652305473117142e-92
XM_005321808.4	Nr1d1	1.5262744129801424	2.2313986109536807e-94	3.094143569692999e-92
XM_078042059.1	Nr1d1	1.524510440518839	5.29727416856432e-94	7.284193421289987e-92
XM_078042035.1	Acly	1.5540635047636437	2.034799548623796e-93	2.7748948224662197e-91
XM_005321623.3	Tob1	1.1104043715947987	4.023103903930665e-93	5.441412911373763e-91
