Transcript	Gene	log2fc	pvalue	FDR
XM_005326737.5	Spty2d1	0.28126927981689465	0.00462738179837447	0.012389490030014138
XM_013357116.4;XM_005321880.5	Coasy	0.44910833983180537	0.001006271283371217	0.003147769184248048
XM_078050771.1	LOC110599537	-0.18896983290181346	0.061957669972084496	0.12104706514437204
XM_040269381.1	Chd3	NA	NA	NA
XM_005321164.2	LOC101957692	NA	NA	NA
XM_005316581.4;XM_021726783.3	Leo1	0.5800784015475349	5.7461126658620166e-06	2.7481901231285363e-05
XM_078043490.1	Hps3	NA	NA	NA
XR_013434842.1;XM_078039243.1	Cfap251	NA	NA	NA
XR_013427318.1	LOC144367824	-1.0579893849256143	1.5248739110227877e-10	1.3448393589410485e-09
XR_013431140.1	LOC144370993	NA	NA	NA
XM_078034106.1	H2ab1	NA	NA	NA
XM_005327618.5	Arhgap31	NA	NA	NA
XR_013429025.1;XR_013429027.1	LOC120884972	NA	NA	NA
XM_005333321.5	Tesmin	NA	NA	NA
XR_013424000.1	LOC144365498	NA	NA	NA
XM_078048614.1	LOC144377408	NA	NA	NA
XR_013435500.1	LOC144375500	NA	NA	NA
XM_005339367.5	Pex19	0.18992342243241866	0.09334186533144068	0.17071980933652214
XM_021721962.3	Lhfpl5	NA	NA	NA
XM_040286066.2	Fhl1	NA	NA	NA
XR_013439688.1	LOC110598612	NA	NA	NA
XM_078032418.1	Setd6	0.4932926359506564	0.007260356775119634	0.018448282591045438
XR_013427127.1	LOC106144822	NA	NA	NA
XR_013426609.1	LOC144367288	NA	NA	NA
XM_005326261.5	Hint2	0.036629298875233515	0.839434642610237	0.9233725110133673
XM_078040314.1	Cuzd1	NA	NA	NA
XM_040282306.2	Cchcr1	NA	NA	NA
XM_005325479.4	Fat2	NA	NA	NA
XM_005321754.5	Cisd3	-0.0013785305759659776	0.9612001606507499	0.989463426206217
XR_013440269.1	LOC144378522	NA	NA	NA
XM_005320243.4	Enkur	NA	NA	NA
XM_078024678.1	LOC101962293	NA	NA	NA
XM_078024402.1;XM_078024401.1;XM_078024400.1	Unkl	NA	NA	NA
XM_005339099.4	LOC101974615	NA	NA	NA
XM_021735148.3	Dennd2d	-0.3631698942217015	0.0019145053569287831	0.005629017727649509
XM_021730794.3;XM_078032035.1	Shc2	NA	NA	NA
XR_005737797.2	LOC120892951	NA	NA	NA
XM_005334608.4	Pax1	NA	NA	NA
XM_078030531.1	Fancc	NA	NA	NA
XM_078032895.1	LOC101976000	NA	NA	NA
XR_013423471.1	LOC144365186	NA	NA	NA
XR_013434564.1	LOC120887996	NA	NA	NA
XR_013426763.1	LOC144367406	NA	NA	NA
XM_078031835.1	Nova2	NA	NA	NA
XM_078041337.1	Qtgal	NA	NA	NA
XM_005340307.5	Ikbkb	-0.015537131312589545	0.96913764656022	0.9922529469788715
XM_005317591.5	Id3	-0.05280495848150545	0.8335162972021116	0.9196210497547501
XM_013363649.4	Znf322	0.30892078273027024	0.14695299057471428	0.24673090124881566
XR_013425855.1	LOC144366749	0.1336669292228814	0.4855308844960071	0.6264069683400011
XM_078039654.1	Tpst2	0.7227610765540443	1.8733115104558452e-07	1.1228301211054088e-06
XM_005335825.5	Rpl7	0.24238061094246002	0.05766426419646548	0.11383156161094353
XM_078051295.1	Mcee	0.33325643054447396	0.0001673609123734222	0.0006160210606901271
XM_005338386.5	Plpp5	0.2093617042383316	0.5828078541398509	0.7153311812824814
XM_040293978.2	Asph	NA	NA	NA
XM_078051724.1;XM_078051723.1;XM_078051716.1;XM_078051711.1	Clint1	-0.05803037824569343	0.7124733472704725	0.8271668685928422
XM_078020549.1	Ranbp9	0.31814325728735016	0.02415324226571255	0.05324684711109189
XR_013438846.1	LOC144377772	NA	NA	NA
XM_013366102.2	LOC101960273	NA	NA	NA
XM_078020749.1	LOC144366478	NA	NA	NA
XM_078034235.1;XM_078034237.1	LOC110598132	NA	NA	NA
XM_005338929.5	Flacc1	NA	NA	NA
XM_005324110.5	Carnmt1	0.08185865360168422	0.3509692994971255	0.49225196863595994
XR_013429048.1	LOC144369404	NA	NA	NA
XM_078046225.1	Ube2d2	0.704685883050193	2.735963499531337e-45	1.4657835618755388e-43
XM_013363406.4	Rinl	NA	NA	NA
XM_040281619.2	Brca2	NA	NA	NA
XM_005335358.4;XM_040276882.2;XM_005335357.4;XM_078022514.1;XM_005335356.5;XM_040276879.2	Kcnt2	NA	NA	NA
XM_078019460.1;XM_078019458.1;XM_078019459.1;XM_078019457.1;XM_078019461.1;XM_078019463.1;XM_078019462.1;XM_078019464.1	LOC144366099	NA	NA	NA
XM_021732920.2	LOC101977395	NA	NA	NA
XM_078029449.1	Ypel5	0.12127101392021163	0.13286203458355406	0.22739927732218912
XR_013430084.1	LOC144370154	NA	NA	NA
XM_078027037.1	Slc16a1	NA	NA	NA
XM_040283160.2;XM_013365375.3	LOC101971760	NA	NA	NA
XM_078015222.1	LOC144364925	NA	NA	NA
XM_021735263.3	Znf384	0.034220189307659736	0.9535590872899392	0.9869912029518686
XR_002483160.3	LOC110597361	NA	NA	NA
XR_013427461.1	LOC144367891	NA	NA	NA
XM_078039923.1;XM_078039924.1;XM_078039922.1	Tax1bp1	-0.053929455077789686	0.5105092913268425	0.6495923670715783
XM_005330708.5	Ptgfr	NA	NA	NA
XM_078039670.1;XM_078039672.1	Kremen1	NA	NA	NA
XM_005333177.4	Prr7	NA	NA	NA
XM_078021299.1	Gsx2	NA	NA	NA
XR_013429913.1	LOC144370007	NA	NA	NA
XM_040274103.2	Mindy2	NA	NA	NA
XM_078017883.1	Rpl37	1.9170739461027488	1.7495235274455769e-102	2.749417878702806e-100
XM_021734437.3	LOC101974694	NA	NA	NA
XM_078029009.1	Tprkb	0.8045672780851905	0.059480384204555384	0.11694100080535784
XR_013425538.1	LOC144366449	NA	NA	NA
XM_078044842.1	Ybey	NA	NA	NA
XR_013435867.1	LOC144375950	NA	NA	NA
XR_005737233.2	LOC120892532	NA	NA	NA
XM_005327263.5;XM_078045997.1;XM_078045999.1;XM_013359543.4	Sil1	NA	NA	NA
XM_021728569.3	Sh2b2	NA	NA	NA
XR_013435971.1	LOC144375996	NA	NA	NA
XM_005322187.4	Noto	NA	NA	NA
XM_078032897.1	LOC144370970	NA	NA	NA
XM_078044021.1	LOC101969846	NA	NA	NA
XR_013429635.1;XR_013429636.1	LOC120886242	NA	NA	NA
XM_005333988.5	Dcp1b	NA	NA	NA
XM_078051032.1	LOC144377970	NA	NA	NA
XM_005328250.5;XM_040268527.2	LOC101961352	NA	NA	NA
XM_005317401.5	Rpsa	1.1633303911672757	1.5977584741137747e-31	5.2207153626438405e-30
XR_013429657.1	Mib1	NA	NA	NA
XM_040291515.2	Gngt1	NA	NA	NA
XM_005332279.5	Cav1	NA	NA	NA
XM_078014942.1	Sinhcaf	NA	NA	NA
XR_013436387.1;XR_013436386.1;XR_013436388.1;XR_013436385.1;XM_078042963.1;XM_078042961.1;XM_078042962.1;XM_078042964.1	LOC110597402	NA	NA	NA
XM_021726150.3	Cers5	NA	NA	NA
XM_040291099.2	LOC101959458	NA	NA	NA
XM_078030985.1	LOC144370309	NA	NA	NA
XM_005320171.5	Wdr73	NA	NA	NA
XM_040283537.2;XM_040283539.2	Drp2	NA	NA	NA
XR_013431338.1	LOC120891473	NA	NA	NA
XR_013427248.1	LOC144367723	NA	NA	NA
XR_013428886.1;XR_013428885.1	LOC106144768	0.31896468632746355	0.0018486547700200047	0.005455052281849088
XM_005337978.5	Txndc16	NA	NA	NA
XM_078048041.1;XM_078048040.1;XM_013356651.4;XM_078048039.1;XM_078048037.1	Whrn	NA	NA	NA
XM_005321425.4	Slc22a2	NA	NA	NA
XM_040288964.2	Selenof	0.2848303608592685	0.003332435801263183	0.009243322097267402
XM_078016590.1	Ly6k	NA	NA	NA
XM_078015815.1	LOC144365045	NA	NA	NA
XM_013359124.4	LOC101974755	0.17048705173647527	0.9391167349781845	0.9809445771329037
XR_013435648.1	LOC120888255	NA	NA	NA
XM_005331975.5	Uqcr11	-0.6148153525473292	1.588645119314882e-05	7.039267753441156e-05
XM_078034299.1	LOC144371691	NA	NA	NA
XR_013435794.1	LOC144375931	NA	NA	NA
XM_005340258.1	Il36a	NA	NA	NA
XM_078050574.1;XM_005321257.5	Tgfb3	NA	NA	NA
XR_013426957.1	LOC101966606	NA	NA	NA
XM_078033927.1	Gucy2f	NA	NA	NA
XR_005726747.2	LOC120884342	NA	NA	NA
XM_078034413.1	Mid2	NA	NA	NA
XM_005331051.4	Eef1akmt4	NA	NA	NA
XM_078035260.1	LOC144371933	NA	NA	NA
XM_013364815.4	Flcn	0.2164301701129599	0.0719514899298529	0.13727269456960373
XM_021720219.3;XM_040282982.2	Impg1	NA	NA	NA
XM_005330546.4	Mrpl44	NA	NA	NA
XM_078035196.1	LOC144371890	NA	NA	NA
XM_078029135.1	LOC101971192	0.13539530427406643	0.3579786591315489	0.4997889715144842
XM_078033637.1	LOC144371211	NA	NA	NA
XM_005337492.5	Pbdc1	NA	NA	NA
XM_005333575.3	Vegfb	0.445193405980076	0.2905006846322539	0.4239455025308943
XR_013425276.1	LOC120885522	NA	NA	NA
XM_021720900.3	Rnase6	NA	NA	NA
XM_005332647.5	Ndufaf8	NA	NA	NA
XM_005325490.3	LOC101966422	NA	NA	NA
XM_078050161.1;XM_005322877.5	Dmac2l	NA	NA	NA
XM_013363245.4	Icam1	NA	NA	NA
XR_013430624.1	LOC144370711	NA	NA	NA
XM_078039709.1	LOC144375323	NA	NA	NA
XR_013427529.1	LOC144367910	NA	NA	NA
XR_013426923.1	LOC144367491	NA	NA	NA
XM_078023175.1	Rbm17	0.19817417902014756	0.1630698406505072	0.2681697668501115
XM_078042467.1	Msmb	NA	NA	NA
XM_005335111.4	Fastkd2	NA	NA	NA
XM_078038104.1;XM_078038129.1;XM_078038134.1;XM_078038136.1	Cpeb3	NA	NA	NA
XM_078027811.1	LOC120890498	NA	NA	NA
XR_013423263.1	LOC120885601	NA	NA	NA
XM_078024230.1	LOC101978286	NA	NA	NA
XR_013428244.1;XR_013428243.1	LOC120890578	-0.3508781865752621	0.08301764864886205	0.15463079584093833
XM_005338444.5;XM_078027929.1	Polr1a	NA	NA	NA
XM_040271212.2	Lrrtm4	NA	NA	NA
XM_040284839.2	LOC101969848	NA	NA	NA
XR_013427522.1	LOC144367903	NA	NA	NA
XR_013438214.1	LOC110598031	NA	NA	NA
XM_078031155.1;XM_078031158.1	Wrn	NA	NA	NA
XM_078042611.1	Doc2b	NA	NA	NA
XR_013430759.1	LOC144370799	NA	NA	NA
XM_013360709.4	Cep57l1	NA	NA	NA
XM_078030804.1	Extl3	NA	NA	NA
XR_005731931.2	LOC120888363	NA	NA	NA
XR_013431698.1	LOC144371698	NA	NA	NA
XM_021734809.3	Mospd1	NA	NA	NA
XM_021722359.3	Elf4	NA	NA	NA
XM_078019953.1;XM_078019952.1;XM_078019951.1;XM_078019949.1	Tmem63b	0.3694844049575013	0.138133166919219	0.23462021485682275
XM_078027229.1	LOC144368388	NA	NA	NA
XM_040294396.2;XM_005315729.5	Grb14	-0.7101429829490464	0.00010360877357678939	0.00039621051513107807
XM_005321207.5	LOC101972642	NA	NA	NA
XM_078045933.1;XM_078045932.1;XM_078045931.1;XM_078045930.1	Cd6	NA	NA	NA
XR_013425278.1	LOC144366264	0.7534095482909349	2.9941577350269426e-06	1.5067580599475322e-05
XM_005331309.4	Kcnn3	NA	NA	NA
XM_078018520.1	LOC101971668	NA	NA	NA
XM_021724432.3	Kctd17	NA	NA	NA
XM_078045471.1;XM_078045470.1	C4H11orf24	-0.40141295330017585	0.001034236841480887	0.0032272961651429867
XR_005734951.2	LOC120890628	NA	NA	NA
XM_040273761.2	Gpbp1	0.36069484437245475	0.023190562949954353	0.05144071504734463
