Transcript	Gene	log2fc	pvalue	FDR
XM_005339341.5	Sqstm1	-1.7507630964609375	0.0	0.0
XM_078037734.1	LOC101976365	-3.7036255468697337	0.0	0.0
XM_005335662.4	Lrp1	-4.029766000525807	0.0	0.0
XM_005327856.5	Abhd15	-4.4903027039239625	0.0	0.0
XM_013361990.4	Rbm14	-2.9937167205200104	0.0	0.0
XM_013358417.4	Cox14	-3.917409420851887	0.0	0.0
XM_078024043.1	Bnip3	-2.501848153801191	0.0	0.0
XM_078017838.1	Bzw1	-2.9012023673138287	0.0	0.0
XM_078032544.1	Midn	-4.235069861592509	0.0	0.0
XM_005332147.5	Angptl4	-2.8193888453319498	0.0	0.0
XR_013433647.1	LOC144374165	-6.167055146136221	0.0	0.0
XM_078038028.1	Abhd5	-3.2666216311917022	0.0	0.0
XM_005338306.5	Lpcat3	-4.668730672382399	0.0	0.0
XM_078041626.1	Ubald2	-7.069576794472401	0.0	0.0
XR_257777.5	LOC101964185	1.64063580824957	0.0	0.0
XM_005322070.5	Slc1a4	-4.126887123794442	0.0	0.0
XM_078052516.1	Ttc38	-4.032170914414061	0.0	0.0
XM_005334735.5	Klhl21	-4.089515620755293	0.0	0.0
XM_078020566.1	Mylip	-4.705887489850578	0.0	0.0
XM_005321247.4	Tmed10	-4.614160242239722	0.0	0.0
XM_005321234.5	Npc2	-4.521622640551488	0.0	0.0
XR_013439174.1	LOC144377902	-4.295724015272617	0.0	0.0
XM_005335728.5	Hnrnpab	-4.561455318274102	0.0	0.0
XM_078015726.1;XM_078015725.1	Pspc1	-1.7113918237698642	0.0	0.0
XR_013439035.1	LOC144377847	-3.1392722131959743	0.0	0.0
XM_078025897.1;XM_078025896.1;XM_078025895.1	Sfpq	-2.841981408547312	0.0	0.0
XM_078050931.1	Hsp90aa1	-3.752994624269814	0.0	0.0
XM_005335729.5	Hnrnpab	-5.030924498942293	0.0	0.0
XM_013363123.4	Skp1	-2.606137686842336	7.910151361869e-311	1.0912712982978596e-308
XM_005335746.5	Skp1	-2.60305587891786	6.39138464749955e-310	8.744576267715293e-308
XM_005319109.5;XM_021722236.3;XM_013355973.4	Tra2a	-3.41515525643433	2.2266829093843273e-307	3.021535702037503e-305
XM_005334887.5	Fbp1	-3.168540392983678	8.831525575351439e-306	1.1886659016255535e-303
XM_013364251.4	Lpcat3	-4.385766976506731	2.0088487463085935e-304	2.6819750802531264e-302
XM_005336121.5	Fdx2	-6.154142453862984	4.629577437785399e-303	6.131412358602982e-301
XM_005320975.4	Zbtb43	-3.9641063404311767	2.2831711817682358e-302	2.999833247156599e-300
XM_005320976.5	Zbtb43	-3.9214135670234804	2.9471319624904898e-300	3.841714144805517e-298
XM_005321808.4	Nr1d1	-2.2268455100597087	5.186710649259393e-300	6.708280843631973e-298
XM_005323732.5	Crym	-4.202486413161264	5.9416612207299876e-300	7.625131899936817e-298
XM_005322927.5	Chchd7	-5.42891581923677	3.8849569021504715e-298	4.872383448113717e-296
XM_005322926.5	Chchd7	-5.42891581923677	3.8849569021504715e-298	4.872383448113717e-296
XM_005322928.5	Chchd7	-5.42891581923677	3.8849569021504715e-298	4.872383448113717e-296
XM_078042059.1	Nr1d1	-2.2151318154644604	2.3428086866472582e-297	2.9161802862740874e-295
XM_005331899.5	Hebp1	-2.1964841454836237	2.69440237128386e-297	3.3287933773585295e-295
XM_005322611.5	Sdc1	-2.993100960150361	6.500656732809626e-297	7.971731274938028e-295
XM_078026210.1	LOC101977879	-3.3565615337198977	6.3589055870412386e-295	7.74056485246086e-293
XM_078045876.1	Fth1	-3.321642434696063	4.579761420614654e-294	5.534156957538365e-292
