Transcript	Gene	log2fc	pvalue	FDR
XM_005326737.5	Spty2d1	-0.3697252394599845	5.2063467664545354e-05	7.616070576889179e-05
XM_013357116.4;XM_005321880.5	Coasy	-1.9976254340624902	2.7946938944526413e-31	8.802541366564588e-31
XM_078050771.1	LOC110599537	-2.307663725754455	2.109169244557443e-64	1.3549591324659867e-63
XM_040269381.1	Chd3	1.3003812271659276	0.01571610040468781	0.020139332935955316
XM_005321164.2	LOC101957692	NA	NA	NA
XM_005316581.4;XM_021726783.3	Leo1	-1.076627004758355	1.013584910134984e-10	1.8031268200391854e-10
XM_078043490.1	Hps3	NA	NA	NA
XR_013434842.1;XM_078039243.1	Cfap251	NA	NA	NA
XR_013427318.1	LOC144367824	-1.8856543126042968	1.5681794513809674e-19	3.638062054037544e-19
XR_013431140.1	LOC144370993	NA	NA	NA
XM_078034106.1	H2ab1	NA	NA	NA
XM_005327618.5	Arhgap31	NA	NA	NA
XR_013429025.1;XR_013429027.1	LOC120884972	NA	NA	NA
XM_005333321.5	Tesmin	-0.7795310645044357	1.1435942797369706e-05	1.722205339856777e-05
XR_013424000.1	LOC144365498	NA	NA	NA
XM_078048614.1	LOC144377408	NA	NA	NA
XR_013435500.1	LOC144375500	NA	NA	NA
XM_005339367.5	Pex19	-3.3057736833842757	1.0187477133360196e-191	4.54592140007488e-190
XM_021721962.3	Lhfpl5	NA	NA	NA
XR_013439688.1	LOC110598612	NA	NA	NA
XM_078032418.1	Setd6	-1.7850249862174232	5.6660810208469175e-16	1.1794539331085215e-15
XR_013427127.1	LOC106144822	NA	NA	NA
XR_013426609.1	LOC144367288	NA	NA	NA
XM_005327861.5	Ssh2	-1.4968614327968819	1.854125826225362e-54	9.71977614096291e-54
XM_005326261.5	Hint2	-1.4265915663015636	2.1697543584085135e-28	6.327335459477355e-28
XM_078040314.1	Cuzd1	NA	NA	NA
XM_040287557.2	Tmod4	1.3431603603066196	0.002128476557305233	0.002874137798220892
XM_005325479.4	Fat2	NA	NA	NA
XM_005321754.5	Cisd3	-2.198510534924567	1.947970211544088e-43	8.086420975955963e-43
XR_013440269.1	LOC144378522	NA	NA	NA
XM_005320243.4	Enkur	NA	NA	NA
XM_078024678.1	LOC101962293	NA	NA	NA
XM_005339099.4	LOC101974615	NA	NA	NA
XM_021735148.3	Dennd2d	-3.641947231691125	2.973964664455128e-59	1.7166661443533697e-58
XM_021730794.3;XM_078032035.1	Shc2	NA	NA	NA
XR_005737797.2	LOC120892951	NA	NA	NA
XM_005334608.4	Pax1	NA	NA	NA
XM_078030531.1	Fancc	NA	NA	NA
XM_078032895.1	LOC101976000	NA	NA	NA
XR_013423471.1	LOC144365186	NA	NA	NA
XR_013434564.1	LOC120887996	NA	NA	NA
XR_013428452.1;XR_013428451.1;XM_078028104.1	LOC144369033	-2.9792864715237983	8.603319590175065e-28	2.467994382522062e-27
XR_013426763.1	LOC144367406	NA	NA	NA
XM_078024742.1	LOC101972073	NA	NA	NA
XM_078031835.1	Nova2	NA	NA	NA
XM_078041337.1	Qtgal	NA	NA	NA
XM_005340307.5	Ikbkb	-2.062289810578816	7.895632133150685e-12	1.4581904279820348e-11
XM_005317591.5	Id3	-0.4381535481621067	0.10160700244432373	0.12201537251311327
XM_013363649.4	Znf322	-1.5481317099026983	5.351054474551857e-12	9.937929866076508e-12
XR_013425855.1	LOC144366749	-0.7517097582527263	0.0005428813847860713	0.0007567700677949992
XM_078039654.1	Tpst2	NA	NA	NA
XM_005335825.5	Rpl7	-1.4841466764196727	3.2767934013282134e-32	1.0527326753151286e-31
XM_078051295.1	Mcee	-0.22488007953981584	0.013089352100640828	0.016858116074848987
XM_005338386.5	Plpp5	-1.037084362775816	0.002348840998515611	0.003163444738889191
XM_040293978.2	Asph	NA	NA	NA
XM_078020549.1	Ranbp9	-0.641716009782936	9.984713950891608e-05	0.00014436413926376468
XM_078051724.1;XM_078051723.1;XM_078051716.1;XM_078051711.1	Clint1	-2.4501325722728455	4.7110522843586825e-31	1.4757137288090442e-30
XR_013438846.1	LOC144377772	NA	NA	NA
XM_013366102.2	LOC101960273	NA	NA	NA
XM_078020749.1	LOC144366478	NA	NA	NA
XM_078034235.1;XM_078034237.1	LOC110598132	NA	NA	NA
XM_005338929.5	Flacc1	NA	NA	NA
XR_013429048.1	LOC144369404	NA	NA	NA
XR_013439554.1	LOC120886643	NA	NA	NA
XM_078046225.1	Ube2d2	-1.1461264866141407	9.704295860969673e-83	8.740730031466427e-82
XM_013363406.4	Rinl	NA	NA	NA
XM_040281619.2	Brca2	NA	NA	NA
XM_005335358.4;XM_040276882.2;XM_005335357.4;XM_078022514.1;XM_005335356.5;XM_040276879.2	Kcnt2	NA	NA	NA
XM_021732920.2	LOC101977395	NA	NA	NA
XM_078051049.1	Cdca4	NA	NA	NA
XM_078029449.1	Ypel5	-2.7844382617298153	3.802209203662737e-195	1.7484881490732395e-193
XR_013430084.1	LOC144370154	NA	NA	NA
XM_078027037.1	Slc16a1	NA	NA	NA
XM_040283160.2;XM_013365375.3	LOC101971760	NA	NA	NA
XM_078015222.1	LOC144364925	NA	NA	NA
