long-eRNA	ppc_SRR13652347	ppc_SRR13652348	ppc_SRR13652349	ppc_SRR13652335	ppc_SRR13652336	ppc_SRR13652337	ppd_SRR13652347	ppd_SRR13652348	ppd_SRR13652349	ppd_SRR13652335	ppd_SRR13652336	ppd_SRR13652337	gbc_SRR13652347	gbc_SRR13652348	gbc_SRR13652349	gbc_SRR13652335	gbc_SRR13652336	gbc_SRR13652337	gbd_SRR13652347	gbd_SRR13652348	gbd_SRR13652349	gbd_SRR13652335	gbd_SRR13652336	gbd_SRR13652337
1:14553169-14595407:+	15.55576611883885	13.878224948055578	14.874579704461173	2.830658483459019	17.833392580834648	8.764527258109803	0.311115322376777	0.27756449896111157	0.29749159408922343	0.05661316966918038	0.35666785161669295	0.17529054516219605	494.1947236215727	804.9370469872235	958.0331150391844	881.7501175974845	843.4145667641798	845.3784928049547	0.011983673794746926	0.019518830402949192	0.02323124021046055	0.02138146214984562	0.020451867571089903	0.020499490598825203
1:201105641-201146342:-	2.393194787513669	8.831597694217185	53.43830486417532	0.0	0.0	0.7967752052827094	0.04786389575027338	0.17663195388434372	1.0687660972835065	0.0	0.0	0.015935504105654186	75.38563580668058	99.67088826330824	504.0829788734064	11.322633933836077	12.58827711588328	13.54517848980606	0.0018987868572535444	0.0025104752471741317	0.012696664623278552	0.0002851905177027099	0.0003170690926371429	0.000341171187592684
1:206558541-206602456:-	9.572779150054677	3.7849704403787943	43.52191839453454	0.0	1.0490230929902733	1.5935504105654188	0.19145558300109353	0.07569940880757589	0.8704383678906907	0.0	0.020980461859805465	0.03187100821130837	80.17202538170793	108.50248595752542	636.3014651352835	16.983950900754117	11.539254022893006	19.122604926785026	0.001868115047574442	0.002528252538855454	0.014826672223303246	0.00039574869281271656	0.0002688799986693094	0.00044558218209489296
1:212390451-212422281:+	32.30812963143453	17.66319538843437	39.66554587856312	56.61316966918038	47.2060391845623	50.196837932810695	0.6461625926286907	0.35326390776868744	0.7933109175712625	1.1322633933836075	0.944120783691246	1.0039367586562138	275.21740056407197	155.18378805553056	144.8894245286403	339.6790180150823	367.15808254659567	346.5972142979786	0.008926645277936816	0.005033368624291443	0.004699472106926112	0.011017450553503954	0.011908730905471598	0.011241841467937393
1:224151876-224187288:-	20.34215569386619	7.5699408807575885	19.83277293928156	25.47592635113117	19.93143876681519	11.154852873957932	0.4068431138773238	0.15139881761515178	0.39665545878563124	0.5095185270226235	0.3986287753363038	0.22309705747915864	477.442360108977	169.06201300358615	442.38101861786373	427.4294310023119	218.19680334197685	152.18406420899748	0.013873895333419822	0.004912736843738844	0.012855055316823955	0.012420580333080758	0.006340534197599059	0.004422284142881976
10:62358454-62372988:-	40.68431138773238	15.139881761515177	31.952800846620296	43.8752064936148	62.9413855794164	59.7581403962032	0.8136862277546476	0.30279763523030356	0.6390560169324059	0.877504129872296	1.258827711588328	1.1951628079240642	57.43667490032806	89.57763375563145	83.73837463252215	178.3314844579182	287.4323274793349	205.56800296293903	0.0042435666716163275	0.0066182219250558475	0.0061868027065032855	0.013175580676610121	0.021236226633124036	0.015187883484517092
10:98956609-98968613:-	22.735350481379857	13.878224948055578	3.856372515971415	8.491975450377058	19.93143876681519	7.967752052827094	0.45470700962759714	0.27756449896111157	0.0771274503194283	0.16983950900754116	0.3986287753363038	0.15935504105654189	247.69566050766477	710.3127859777537	12.67093826676322	287.31183607109045	387.08952131341084	146.60663777201853	0.022507556611327945	0.06454455120197662	0.0011513801241947034	0.02610739082881325	0.03517396831562114	0.01332182078800708
10:109735216-109756839:+	1.1965973937568346	1.261656813459598	3.305462156546927	5.661316966918038	2.0980461859805466	3.983876026413547	0.02393194787513669	0.02523313626919196	0.06610924313093854	0.11322633933836077	0.04196092371961093	0.07967752052827094	122.05293416319714	175.37029707088413	204.387743346485	290.14249455454944	267.50088871251967	313.1326556761048	0.005918004953607294	0.008503214559294132	0.009910189262339216	0.014068196981892303	0.012970368925160878	0.015182925507956907
11:4794617-4810418:+	25.128545268893525	15.139881761515177	17.078221142159123	32.55257255977872	29.372646603727652	31.871008211308375	0.5025709053778705	0.30279763523030356	0.34156442284318245	0.6510514511955744	0.5874529320745531	0.6374201642261675	781.378098123213	445.3648551512381	326.6898431387213	768.5237782591237	692.3552413735804	663.7137460004969	0.05278868383483396	0.030088153975897668	0.022070655528896185	0.05192026606263491	0.04677443868217673	0.044839463991386046
11:96007074-96033774:+	25.128545268893525	10.093254507676784	12.120027907338732	21.229938625942644	8.392184743922186	13.54517848980606	0.5025709053778705	0.20186509015353568	0.24240055814677464	0.42459877251885286	0.16784369487844372	0.27090356979612124	483.42534707776116	560.1756251760615	365.2535682984354	399.1228461677217	96.51012455510514	165.72924269880355	0.01880959289824362	0.021795868844638674	0.014211648118689354	0.015529467575881107	0.0037551116514962465	0.006448357756460973
