Transcript	Gene	log2fc	pvalue	FDR
XM_005339626.5	Thap4	NA	NA	NA
XM_005326947.5	Gnai2	-0.5815712205854398	6.126909585870009e-05	0.00014466643127884348
XM_078034714.1	LOC120890744	NA	NA	NA
XR_013439882.1	LOC120886172	NA	NA	NA
XM_078048376.1	Kyat1	-0.31594431101118964	0.005847557230325776	0.01072647760841039
XM_078039895.1	Adk	-0.9745749558565664	4.558176796153977e-60	1.4997278231807384e-58
XR_013435522.1;XR_013435523.1	LOC120891782	NA	NA	NA
XM_078046826.1	LOC101955481	NA	NA	NA
XM_021724318.3	Aplf	NA	NA	NA
XM_005326737.5	Spty2d1	0.45251840291783507	2.980794793154928e-07	8.602972016883885e-07
XM_013357116.4;XM_005321880.5	Coasy	-0.727525589704746	5.847828548036734e-09	1.9299864704544847e-08
XM_078050771.1	LOC110599537	-1.375183401670458	1.0307520809471604e-36	1.450258005997119e-35
XM_005321164.2	LOC101957692	NA	NA	NA
XM_005316581.4;XM_021726783.3	Leo1	0.5150971019100364	2.1841587412537875e-05	5.389985850874232e-05
XM_078043490.1	Hps3	NA	NA	NA
XR_013427318.1	LOC144367824	-1.159356446407511	3.7184194069531555e-16	2.0049933070772625e-15
XR_013431140.1	LOC144370993	NA	NA	NA
XM_078034106.1	H2ab1	NA	NA	NA
XM_005327618.5	Arhgap31	NA	NA	NA
XR_013429025.1;XR_013429027.1	LOC120884972	NA	NA	NA
XM_005333321.5	Tesmin	0.6069113862296093	0.0006860531701380662	0.001429507208365872
XR_013424000.1	LOC144365498	NA	NA	NA
XM_078048614.1	LOC144377408	NA	NA	NA
XR_013435500.1	LOC144375500	NA	NA	NA
XM_005339367.5	Pex19	-1.538740237973718	4.6983418199493815e-53	1.2366758491925226e-51
XM_021721962.3	Lhfpl5	NA	NA	NA
XM_040286066.2	Fhl1	NA	NA	NA
XR_013439688.1	LOC110598612	NA	NA	NA
XM_078032418.1	Setd6	-0.5027082817022579	0.0067333801483022895	0.012237242506618215
XR_013427127.1	LOC106144822	NA	NA	NA
XM_005327861.5	Ssh2	-1.159690124232718	3.2525200837948514e-46	6.904139716333265e-45
XM_005326261.5	Hint2	-0.7450093915362641	1.515059915332948e-09	5.233426224799396e-09
XM_078040314.1	Cuzd1	NA	NA	NA
XM_005325479.4	Fat2	NA	NA	NA
XM_005321754.5	Cisd3	-1.2577006540053446	3.460560151649188e-14	1.671561932088254e-13
XR_013440269.1	LOC144378522	NA	NA	NA
XM_005320243.4	Enkur	NA	NA	NA
XM_078024678.1	LOC101962293	NA	NA	NA
XM_078024402.1;XM_078024401.1;XM_078024400.1	Unkl	NA	NA	NA
XM_005339099.4	LOC101974615	NA	NA	NA
XM_021735148.3	Dennd2d	-1.0209646062607103	1.2195498398463501e-17	7.175130058435765e-17
XM_021730794.3;XM_078032035.1	Shc2	NA	NA	NA
XR_005737797.2	LOC120892951	NA	NA	NA
XM_005334608.4	Pax1	NA	NA	NA
XM_078030531.1	Fancc	NA	NA	NA
XM_078032895.1	LOC101976000	NA	NA	NA
XR_013423471.1	LOC144365186	NA	NA	NA
XR_013434564.1	LOC120887996	NA	NA	NA
XR_013426763.1	LOC144367406	NA	NA	NA
XM_078024742.1	LOC101972073	NA	NA	NA
XM_078031835.1	Nova2	NA	NA	NA
XM_078041337.1	Qtgal	NA	NA	NA
XM_005340307.5	Ikbkb	-0.46007895167366464	0.007393701301107225	0.013347983070659862
XM_005317591.5	Id3	-0.8505330271302863	1.4800118297188407e-06	4.029522978144437e-06
XM_013363649.4	Znf322	-1.208871094721561	1.997027401582332e-08	6.319057113680807e-08
XR_013425855.1	LOC144366749	-0.55897069082424	0.0010220127817808717	0.0020798877939204154
XM_078039654.1	Tpst2	-0.4268556269443426	0.0057279116997556384	0.010519411901150626
XM_005335825.5	Rpl7	-0.49655548713356557	2.0384927314540222e-05	5.044340778485228e-05
XM_005338386.5	Plpp5	-0.21252881879563415	0.5459640811417994	0.633410148793317
XM_040293978.2	Asph	NA	NA	NA
XM_078020549.1	Ranbp9	0.4542599229933898	0.0008146779281713488	0.0016793162256727235
XM_078051724.1;XM_078051723.1;XM_078051716.1;XM_078051711.1	Clint1	-1.6262907233097177	2.3583274463223527e-20	1.6152371608938806e-19
XR_013438846.1	LOC144377772	NA	NA	NA
XM_013366102.2	LOC101960273	NA	NA	NA
XM_078020749.1	LOC144366478	NA	NA	NA
XM_078034235.1;XM_078034237.1	LOC110598132	NA	NA	NA
XM_005338929.5	Flacc1	NA	NA	NA
XR_013429048.1	LOC144369404	NA	NA	NA
XM_078046225.1	Ube2d2	0.07184597309480553	0.15727466784772295	0.2178442594079252
