long-eRNA	ppc_SRR13652347	ppc_SRR13652348	ppc_SRR13652349	ppc_SRR13652341	ppc_SRR13652342	ppc_SRR13652343	gbc_SRR13652347	gbd_SRR13652347	gbc_SRR13652348	gbd_SRR13652348	gbc_SRR13652349	gbd_SRR13652349	gbc_SRR13652341	gbd_SRR13652341	gbc_SRR13652342	gbd_SRR13652342	gbc_SRR13652343	gbd_SRR13652343	SRR13652347-pindex	SRR13652347-pvalue	SRR13652347-FDR	SRR13652348-pindex	SRR13652348-pvalue	SRR13652348-FDR	SRR13652349-pindex	SRR13652349-pvalue	SRR13652349-FDR	SRR13652341-pindex	SRR13652341-pvalue	SRR13652341-FDR	SRR13652342-pindex	SRR13652342-pvalue	SRR13652342-FDR	SRR13652343-pindex	SRR13652343-pvalue	SRR13652343-FDR
1:14553169-14596100:+	26.2707	0.001691631394338263	0.002791191800658134	14.3246	0.006128199287656242	0.0102829106691181	12.939	1.491013759669137e-06	3.5224700071577255e-06	11.154	0.00026291910845161804	0.0010201261407922781	4.0909	0.3742403522654966	0.8660991009572923	5.2228	0.06982907593644852	0.15052045257412236
1:201105641-201146342:-	25.2076	0.4961240310077615	0.5306596919500005	70.358	0.0137625714003325	0.021197400946679806	84.1769	2.1306546502778702e-06	3.683504649632928e-06	0.0	NA	NA	99.255	0.4857142857142856	0.915734265734316	72.1855	0.48936170212765656	0.6198698102722888
1:206558541-206602456:-	102.486	0.00641825196326433	0.009208796295118386	29.9414	0.24576271186444282	0.30639067524118246	58.7076	1.8920018045401936e-06	3.5224700071577255e-06	0.0	NA	NA	0.0	NA	NA	59.1945	0.4918032786885374	0.6198698102722888
1:212390451-212410524:+	63.1899	1.7804645078675728e-07	3.6563593018690883e-06	60.0081	7.605717954380672e-05	0.00017927763749611583	156.06	8.855126311549542e-07	3.5224700071577255e-06	26.4102	0.0034177263183350374	0.008812634477032127	2.8683	0.9999999999999413	1.0	31.416	0.01388122179444012	0.043434790776151345
10:28954815-28967813:-	202.4831	3.406673678236148e-07	3.6563593018690883e-06	66.3774	0.00011798265184359711	0.0002654609666480935	23.8278	0.0007481259398380021	0.0009910239722529378	677.0864	1.0958305783354936e-06	9.095186112854386e-06	45.7105	0.10985670864090306	0.4769076216092832	287.976	4.774111395264105e-07	1.7287521776291867e-05
10:33886825-33896919:-	303.1667	0.0002482629652915487	0.0004637364823370438	284.2188	4.550387455329943e-07	5.005065287669666e-06	532.7071	2.7049761941005858e-06	4.180417754519087e-06	12.9929	0.06511827526546252	0.11676108531889869	20.2111	0.23728813559322431	0.6112486735058797	19.1474	0.02759121144930311	0.0686242951431385
10:98952269-98974927:-	39.6123	1.6098684735385462e-06	6.169537871105061e-06	17.0915	3.657338524180037e-07	4.725065938868008e-06	127.2466	1.5343339627963129e-06	3.5224700071577255e-06	11.1262	0.0004800642164300604	0.001605732034266064	2.0337	0.9999999999999413	1.0	24.0656	0.0030145495527776887	0.01218380444247649
10:109735089-109748173:+	2.6272	1.0	1.0	2.4918	1.0	1.0	4.4485	0.12302038471416978	0.14033973174289982	5.4315	0.497237569060756	0.6430939226519111	3.0987	1.0	1.0	2.8774	0.9999999999999413	1.0
11:4794727-4810455:+	9.6962	5.7803844137442945e-05	0.00011445161139213702	10.1579	0.0031591758298792883	0.005392386330311199	16.7317	2.966111478492104e-07	3.5224700071577255e-06	37.606	2.2840846638691873e-07	7.385207079843706e-06	9.3517	0.12210988086474614	0.4769076216092832	18.0724	0.010505954053313438	0.03514060493694495
11:13203549-13214789:-	21.2549	0.005169636921598559	0.007638717242362049	97.5333	3.063219187812136e-07	4.725065938868008e-06	80.6378	5.796509877086007e-07	3.5224700071577255e-06	12.9633	0.058791507893314256	0.1096687743394516	2.3543	1.0	1.0	10.241	0.2119892906855515	0.360753705201728
11:96007074-96080761:+	30.4376	9.981677778115741e-06	2.5338105129063038e-05	11.4922	0.038649406382772554	0.054661303312778325	18.6597	5.382793932159244e-06	7.625624737225595e-06	10.2999	0.06976301693029313	0.11676108531889869	0.0	NA	NA	6.16	0.24947220267459186	0.3722892870682371
12:106814015-106827009:+	54.0035	1.9529237634243333e-06	6.169537871105061e-06	52.0265	3.32509893251059e-06	1.0972826477284947e-05	58.8924	7.77087640586346e-07	3.5224700071577255e-06	186.5889	0.006797676430601908	0.016484365344209627	0.0	NA	NA	119.95	0.01906158357771258	0.055602209023726805
12:113017045-113028000:+	74.67	9.392883121138472e-07	5.912568390463112e-06	20.8036	0.0007382747154204021	0.0013535036449374039	108.0193	1.8790174077757357e-06	3.5224700071577255e-06	123.7773	6.4879746348701e-07	7.637300217876192e-06	3.9824	0.9999999999999981	1.0	12.6425	0.11938242552947609	0.21866431670576056
12:115554395-115565201:-	25.6392	1.2374125863952919e-05	2.9878986842227778e-05	130.76	1.2495456075448567e-06	5.890715006997181e-06	223.5996	1.17123546307466e-06	3.5224700071577255e-06	29.421	0.2333333333333328	0.3378109452736311	28.02	0.48387096774193866	0.915734265734316	130.76	0.08668730650154871	0.18279714631848315
12:117058947-117072107:+	NA	NA	NA	304.025	0.0003442978971343803	0.0007252232301341202	34.1253	1.4856428808098208e-06	3.5224700071577255e-06	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA
13:16561343-16571538:-	35.0324	0.10985670864090306	0.13594767694311755	33.88	0.01214759441165128	0.01908907693259487	41.5303	0.011545437005595157	0.013854524406714187	2.8295	1.0	1.0	13.794	0.24117647058824188	0.6112486735058797	2.6655	0.9999999999999697	1.0
13:17390005-17402825:+	160.1555	7.515632590007702e-08	3.6563593018690883e-06	148.6069	1.374520492895642e-06	5.916414295507328e-06	161.8732	7.672167263761235e-07	3.5224700071577255e-06	152.529	1.8653256789658862e-07	7.385207079843706e-06	10.9963	0.4943820224719112	0.915734265734316	50.9925	0.0006011080803670056	0.0030688149366105023
13:23809795-23824010:-	30.6952	5.024093570243867e-05	0.00010362192988627976	26.9714	0.05674232309746345	0.07911957727674482	71.2158	1.6287283190374864e-06	3.5224700071577255e-06	3.1846	0.9999999999999981	1.0	3.2632	1.0	1.0	5.7461	1.0	1.0
13:23857829-23868554:+	6.8801	0.00013645134343505936	0.0002648761372562917	18.7812	0.0007534001379484142	0.0013561202483071454	12.5497	2.4496212139212864e-06	4.018390297802487e-06	7.7808	1.0	1.0	38.904	0.22857142857142754	0.6112486735058797	21.6133	0.23728813559322431	0.3722892870682371
14:10443785-10455607:-	40.7135	1.919531077847111e-06	6.169537871105061e-06	32.9506	7.803513224164134e-07	5.150318727948328e-06	75.2625	2.789714973589274e-06	4.247028765762775e-06	67.6437	1.4096377310978372e-06	9.76677570832073e-06	65.4052	3.753234155563077e-07	3.0401196660060923e-05	71.24	1.2892372566462717e-06	1.7287521776291867e-05
15:36743608-36760746:+	56.7525	1.666244694684697e-05	3.83623778543686e-05	125.5256	0.009625126646403184	0.01562110718022812	135.5319	1.7336838767717952e-06	3.5224700071577255e-06	40.7392	0.0001710919540735451	0.0007215617193536468	44.8306	3.876786810826618e-05	0.0006280394633539121	57.4814	0.00014963814292337721	0.0008538176390333877
16:37099404-37109727:-	17.1758	0.013696985862899474	0.018575364389411618	19.98	0.23770491803279561	0.30562060889930864	29.5639	0.0012545856098172294	0.0015995966525169675	9.0524	0.2121788373800637	0.32523624032029175	0.0	NA	NA	7.4592	0.36891716743260833	0.5112973449583125
16:52132293-52144311:-	26.0976	0.003125415050032055	0.004877956549951001	33.437	2.907163988347671e-06	9.924456374014463e-06	57.2988	1.6918743788425704e-06	3.5224700071577255e-06	9.5817	0.9999999999999981	1.0	0.0	NA	NA	13.7737	0.9999999999999946	1.0
2:58775075-58888047:+	107.1512	1.5136682523400522e-06	6.169537871105061e-06	172.2662	1.08639765758193e-06	5.890715006997181e-06	100.0943	3.3479651015008534e-06	4.9491658022186525e-06	39.0995	7.873505379253805e-07	7.637300217876192e-06	2.3303	0.9999999999998276	1.0	32.3443	1.0275410490575791e-05	8.305956813215431e-05
2:84061698-84090151:+	17.092	0.007404846477326916	0.010325067623314997	0.0	NA	NA	16.6388	0.02048739215932376	0.024019701152310616	3.6851	0.9999999999994815	1.0	0.0	NA	NA	0.0	NA	NA
2:148559983-148580907:-	41.7782	2.342995891914103e-07	3.6563593018690883e-06	51.4194	1.93822659856722e-05	5.04959034889881e-05	50.7182	5.814282865553412e-07	3.5224700071577255e-06	6.2756	0.37256571850317943	0.497125754817756	13.7414	0.49579831932774165	0.915734265734316	5.6127	0.4982578397212173	0.6198698102722888
