long-eRNA	ppc_SRR13652347	ppc_SRR13652348	ppc_SRR13652349	ppc_SRR13652341	ppc_SRR13652342	ppc_SRR13652343	ppd_SRR13652347	ppd_SRR13652348	ppd_SRR13652349	ppd_SRR13652341	ppd_SRR13652342	ppd_SRR13652343	gbc_SRR13652347	gbc_SRR13652348	gbc_SRR13652349	gbc_SRR13652341	gbc_SRR13652342	gbc_SRR13652343	gbd_SRR13652347	gbd_SRR13652348	gbd_SRR13652349	gbd_SRR13652341	gbd_SRR13652342	gbd_SRR13652343
1:14553169-14596100:+	18.387938295037316	16.29391327965153	17.508546748855196	11.835154682797096	4.414160079820896	6.274461373007691	0.3677587659007463	0.3258782655930306	0.3501709349771039	0.23670309365594192	0.08828320159641793	0.1254892274601538	586.9995686492682	953.9345592814168	1134.8132152035773	889.8556927128067	904.9028163632838	1007.4992261800921	0.013998845002605724	0.022749560223252224	0.02706317884201983	0.02122139875781751	0.02158024459513687	0.0240269776347441
1:201105641-201146342:-	2.828913583851895	10.368853905232791	62.90107535699829	0.0	2.207080039910448	1.7927032494307689	0.0565782716770379	0.20737707810465583	1.2580215071399659	0.0	0.04414160079820897	0.035854064988615375	89.11077789133469	117.01992264477008	593.3451953778705	3.6984858383740926	17.656640319283586	19.719735743738458	0.002244490904522046	0.002947456617922751	0.014944969910278298	9.315615934643973e-05	0.00044472924082623427	0.0004966937621212639
1:206558541-206602456:-	11.31565433540758	4.443794530814054	51.22871085776149	0.0	0.0	1.7927032494307689	0.2263130867081516	0.08887589061628107	1.02457421715523	0.0	0.0	0.035854064988615375	94.76860505903848	127.38877655000286	748.976722034361	11.095457515122277	14.346020259417914	25.99419711674615	0.0022082348089065788	0.0029683282819926667	0.017452155886717297	0.00025853894853015063	0.00033428139294000645	0.0006056994388280784
1:212390451-212410524:+	38.19033338200058	20.737707810465583	46.68945799694718	6.657274509073367	1.103540019955224	6.274461373007691	0.7638066676400116	0.41475415620931166	0.9337891599389436	0.13314549018146735	0.022070800399104484	0.1254892274601538	230.55645708392942	131.8325710808169	114.12978621475979	96.16063179772641	146.7708226540448	76.18988810080768	0.01208747284701316	0.006911637363993674	0.0059835265919450055	0.005041450760077898	0.00769481087627369	0.003994436830282417
10:28954815-28967813:-	38.19033338200058	19.2564429668609	9.07850572162862	58.43607624631066	4.414160079820896	43.02487798633845	0.7638066676400116	0.38512885933721797	0.1815701144325724	1.1687215249262133	0.08828320159641793	0.860497559726769	45.26261734163032	69.61944764942017	91.43352191068824	20.71152069489492	23.174340419059707	35.85406498861538	0.0037721991283964874	0.005802104146130383	0.007620095167154558	0.0017261038998995445	0.001931355981253387	0.0029880877563642325
10:33886825-33896919:-	14.144567919259474	37.03162109011711	79.76115741145144	5.17788017372373	3.3106200598656725	5.378109748292307	0.2828913583851895	0.7406324218023422	1.5952231482290287	0.1035576034744746	0.06621240119731345	0.10756219496584613	8.486740751555685	23.70023749767495	27.23551716488586	72.49032243213222	29.79558053879105	51.092042608776914	0.0009331215779609232	0.0026058534906733054	0.0029945593364359884	0.007970348810569777	0.0032760396414282843	0.005617596768419668
10:98952269-98974927:-	43.84816054970437	42.95668046453585	30.47784063689608	11.095457515122277	1.103540019955224	10.756219496584613	0.8769632109940874	0.859133609290717	0.6095568127379216	0.22190915030244554	0.022070800399104484	0.21512438993169225	479.50085246289615	1088.729660049443	103.75435110432707	431.983145922094	235.05402425046273	193.61195093852302	0.022138642248621526	0.05026684796386913	0.004790357408205673	0.019944741027844912	0.010852487384018672	0.008939099263055611
10:109735089-109748173:+	1.4144567919259474	1.4812648436046845	3.8907881664122654	1.479394335349637	1.103540019955224	0.8963516247153844	0.02828913583851895	0.029625296872093688	0.0778157633282453	0.02958788670699274	0.022070800399104484	0.017927032494307688	130.13002485718715	143.6826898296544	211.39949037506642	65.83304792305884	86.07612155650747	75.2935364760923	0.010767896140437369	0.011889341318134324	0.01749271744932278	0.005447500862478991	0.007122558672445765	0.006230329869763482
11:4794727-4810455:+	29.703592630444895	17.775178123256214	21.39933491526746	22.190915030244554	4.414160079820896	8.963516247153844	0.5940718526088979	0.35550356246512427	0.4279866983053492	0.4438183006048911	0.08828320159641793	0.17927032494307688	902.4234332487545	515.4801655744302	376.7579874475877	173.82883440358236	139.04604251435825	146.10531482860767	0.061268479411280635	0.03499763497687747	0.025579332435846758	0.01180180829680101	0.009440290753911175	0.009919567847688748
11:13203549-13214789:-	15.559024711185423	29.62529687209369	32.423234720102215	3.6984858383740926	1.103540019955224	4.481758123576922	0.31118049422370847	0.5925059374418737	0.6484646944020444	0.07396971676748185	0.022070800399104484	0.08963516247153844	149.93241994415044	62.213123431396745	82.35501618905961	58.43607624631066	96.0079817361045	89.63516247153845	0.014640408157811691	0.006074907082452512	0.00804169672776673	0.005706090835495594	0.00937486395235852	0.008752579091059264
11:96007074-96080761:+	29.703592630444895	11.850118748837476	14.266223276844974	5.17788017372373	0.0	2.6890548741461533	0.5940718526088979	0.2370023749767495	0.2853244655368995	0.1035576034744746	0.0	0.05378109748292306	1418.7001623017252	1499.0400217279407	1111.4684862051038	730.8208016627207	384.031926944418	634.6169502984922	0.019517666771705303	0.02062293668456871	0.015290948797670895	0.010054215299123932	0.00528329197315117	0.00873069764333163
12:106814015-106827009:+	73.55175318014926	26.66276718488432	44.09559921933901	5.17788017372373	0.0	5.378109748292307	1.4710350636029852	0.5332553436976863	0.8819119843867802	0.1035576034744746	0.0	0.10756219496584613	326.73951893489385	122.94498201918881	179.62472034936624	6.657274509073367	3.3106200598656725	10.756219496584613	0.02723964309586442	0.010249685870711801	0.014974966265057605	0.0005550041274758886	0.0002760000049908453	0.0008967252602404434
12:113017045-113028000:+	42.433703757778424	20.737707810465583	53.822569635369675	17.013034856520825	1.103540019955224	3.5854064988615377	0.8486740751555685	0.41475415620931166	1.0764513927073935	0.3402606971304165	0.022070800399104484	0.07170812997723075	113.1565433540758	198.48948904302773	99.21509824351277	27.368795203968286	55.177000997761205	56.47015235706922	0.011365663253723925	0.019936670253417745	0.009965357396897606	0.002748975010442759	0.005542085274986026	0.005671971912120218
12:115554395-115565201:-	28.28913583851895	32.58782655930306	36.96248758091652	2.2190915030244556	2.207080039910448	3.5854064988615377	0.565782716770379	0.6517565311860612	0.7392497516183305	0.04438183006048911	0.04414160079820897	0.07170812997723075	216.41188916466996	48.88173983895459	32.423234720102215	14.79394335349637	15.449560279373138	5.378109748292307	0.022067083630536236	0.004984372370648894	0.003306131816060145	0.0015085085503718106	0.001575360485303573	0.0005483949982963405
