long-eRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
nw_027522939.1:65023-75879:+	1201.4938476539776	-3.6180699434039836	0.472147662015632	-7.663005103018376	1.8163212576216614e-14	1.4530570060973292e-12
12:106814015-106826945:+	89.52531927565695	-5.298918325264495	0.7272950770775368	-7.285788797797098	3.1979363077706324e-13	1.279174523108253e-11
7:12273331-12289102:-	79.0088889047757	-4.727321683054154	0.6810831913497912	-6.940887314639794	3.896447340557733e-12	1.0390526241487287e-10
6:131379221-131420606:-	149.68933661169723	-4.263962426905321	0.6669800038992197	-6.3929389216735855	1.6272727567468242e-10	3.2545455134936483e-09
4:55958096-55978342:-	152.88571496451507	-3.255909850972686	0.5399161561005146	-6.030399005816272	1.6355535672180965e-09	2.6168857075489543e-08
16:52132293-52144311:-	69.39166872461689	-3.480997160982766	0.6067607760574583	-5.737017451261759	9.63583317431903e-09	1.2699204506519036e-07
13:23857829-23868554:+	206.33322832420296	-4.51254231754635	0.7898972692296892	-5.712821772313505	1.1111803943204155e-08	1.2699204506519036e-07
nw_027523678.1:72863-86970:-	245.6078352077593	-2.4793883488134885	0.44370152902242105	-5.587964400925471	2.2974672454062894e-08	2.2974672454062895e-07
4:141343218-141359001:-	89.95405555559539	-3.48142645269234	0.6555819428559635	-5.310436766342169	1.0936282496639676e-07	9.721139997013046e-07
3:26256493-26279079:-	102.56462656284323	-2.7378913732218195	0.5309083618918555	-5.156994256910046	2.509454968135593e-07	2.0075639745084743e-06
4:207685701-207699772:+	286.3226269556356	-2.6238940456875604	0.5171449160533377	-5.073808064695227	3.899323754382175e-07	2.8358718213688545e-06
nw_027522565.1:157936-190004:+	90.91513301393456	-3.575528205771129	0.7372459969062086	-4.849844177893857	1.2355850021052183e-06	8.237233347368122e-06
11:4794723-4810415:+	290.09496946821463	-2.684502411588053	0.570650208330213	-4.704287096368914	2.547545526346257e-06	1.5677203239053888e-05
1:201101012-201146342:-	134.87481834698457	-3.47935008077043	0.7959773079267819	-4.371167426660458	1.2358397978466464e-05	7.061941701980837e-05
nw_027520944.1:213518-232678:+	721.438781994807	1.7321365487409504	0.4029047548626096	4.299121635662027	1.71476348220589e-05	9.145405238431413e-05
4:141307666-141332185:-	119.70100662244467	-2.7599818473494317	0.6582413094094128	-4.192963595411146	2.7533364203263927e-05	0.00013766682101631965
14:10443833-10455607:-	267.0908521527882	-1.9622087339561947	0.4777739542783794	-4.1069813797612245	4.0086353092041325e-05	0.00018864166160960624
1:206558541-206602456:-	151.5679200585045	-3.052151250188415	0.7507496553514529	-4.0654713970659015	4.793547331278593e-05	0.00021304654805682637
3:204676335-204699416:+	488.81407761481086	-1.948694768242057	0.48543670150629425	-4.014312807818858	5.961923713377747e-05	0.00025102836687906303
5:120448069-120468094:-	193.58532999521526	1.8173041427425782	0.5501543838320362	3.303262131775372	0.000955670085704385	0.00382268034281754
13:23810513-23824007:-	73.64297851898299	-1.8738801993005516	0.6054861356410212	-3.0948358500673123	0.001969218483506296	0.0072427582461671094
11:96007074-96080796:+	772.1372558557706	-1.4529935322379994	0.47000260664103605	-3.0914584551394233	0.0019917585176959553	0.0072427582461671094
nw_027522939.1:24101-54195:-	180.74794549755018	-1.6065686980631413	0.5282427107496834	-3.041345702211574	0.002355232446615283	0.008192112857792288
nw_027523678.1:111294-122982:-	89.12646401687765	-1.8571428031419694	0.6314010550930697	-2.941304560962799	0.003268330131860193	0.01089443377286731
6:199236546-199249708:+	80.88352287558685	1.729255984156474	0.5924181727595262	2.9189786263670405	0.003511803014670761	0.011237769646946436
nw_027526142.1:59608-87909:+	354.6766912317133	1.1036909213948622	0.3871383499329213	2.8508953493914944	0.004359631545409169	0.013414250908951292
nw_027521144.1:51346-62690:-	61.51887456240806	-1.611283690279143	0.5694538084847663	-2.829524829356281	0.004661718263554837	0.013812498558680998
nw_027520960.1:99901-134580:-	311.45117518011847	1.080689409102522	0.38404419055959854	2.8139715055390573	0.0048933565641199345	0.013981018754628385
nw_027522939.1:4856-16023:-	34.772348454233295	-1.9759338086489833	0.7288234257800501	-2.7111282908259535	0.006705467657609887	0.018497841814096243
nw_027520961.1:213078-253848:+	330.3972970182933	-1.8710825555647537	0.6932595603520307	-2.6989639416074342	0.006955571226560649	0.018548189937495064
16:36785835-36798769:+	110.88419319395565	1.4649139328350815	0.5568780299500908	2.630583097283209	0.008523852842086115	0.021997039592480293
2:148558771-148580941:-	155.85548753032333	-1.262861100813316	0.4834150260985243	-2.612374528374576	0.008991569071566676	0.02247892267891669
10:109736215-109747831:+	63.30388384795416	-1.5311720835440799	0.5905433901561219	-2.5928189343365338	0.009519287272894323	0.023077060055501388
10:98956260-98974926:-	301.05035691866493	-1.8502207543899263	0.7273945895385947	-2.5436273255257085	0.010970806484391336	0.02581366231621491
3:214153045-214163282:-	41.773984204017744	-2.5151368297213113	1.0345995561278623	-2.4310244623867545	0.015056197989196433	0.03441416683244899
nw_027524982.1:409549-424450:-	181.08287880758044	-1.9010769213914243	0.7890993899276612	-2.40917297067699	0.015988718215666445	0.03553048492370321
nw_027523678.1:127477-163552:+	1728.2044593046357	-1.0835586602674372	0.4808616948231766	-2.2533686337105423	0.024235915533020163	0.05240197953085441
nw_027522888.1:230420-271665:-	295.7832102189183	0.8542947924924351	0.3853490142348915	2.216937791286772	0.0266273428453222	0.05605756388488884
nw_027520962.1:301953-329575:-	247.72273215588507	0.9120949183305808	0.4146694025141627	2.199571303791649	0.027837325020446797	0.05710220517014727
9:18416508-18445179:-	251.61651464529075	-1.2151298324275523	0.6221295268899716	-1.953178204709222	0.05079848273813091	0.10159696547626182
nw_027520990.1:732259-744095:-	30.867908720952432	1.2471202915144992	0.7291351168944757	1.7104104062717762	0.08719000805767467	0.17012684499058472
5:16450030-16461690:+	122.48142337778438	0.9282699496018395	0.5547129006617184	1.6734241235321985	0.09424383214517763	0.17951206122890978
nw_027524440.1:581485-608731:+	278.9452276847706	0.6620812334757061	0.41230731025451756	1.6057955243796258	0.10831884435350067	0.197625969834305
nw_027520944.1:90887-138639:+	321.8545355031792	-0.7621841064387893	0.47515055400006273	-1.6040896933031643	0.10869428340886775	0.197625969834305
nw_027522803.1:40462-65655:-	274.80961153773353	0.6412068539485443	0.40697216204153186	1.5755545802739905	0.11512849053488454	0.20467287206201695
nw_027526147.1:276573-298458:-	144.72166266040986	-0.7673576479348732	0.5013053470311444	-1.530719056717342	0.1258388418827266	0.21885015979604625
nw_027522274.1:392442-410066:+	116.91091671786283	-0.7104000146366951	0.46805923212024997	-1.5177566553247366	0.12907575572219773	0.2197034139952302
13:17390005-17403269:+	36.0915775093124	-0.9036041920592189	0.6108024704936122	-1.4793721959391926	0.1390408669671489	0.23173477827858152
nw_027523264.1:1017996-1042745:+	179.92556984876865	-0.6542332003345754	0.4917101486662013	-1.3305261282672922	0.18334498350274153	0.2933519736043865
8:114402409-114412513:+	21.23620802649719	1.028442233889144	0.7667660048750825	1.341272601224271	0.17983196208404062	0.2933519736043865
